,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
25,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
26,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
27,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
28,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False
29,F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False
30,F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False
31,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
32,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
33,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
34,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
35,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
36,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
37,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
38,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
39,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
40,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
41,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
42,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
43,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
44,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
45,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
46,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
47,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
48,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False
49,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
50,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
51,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
52,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
53,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
54,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False
55,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
56,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
57,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
58,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
59,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
60,F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False
61,F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False
62,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
63,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
64,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
65,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
66,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
67,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
68,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
69,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
70,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
71,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
72,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
73,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
74,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
75,F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
76,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False
77,F,N,N,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False
78,F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
79,F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
80,F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
81,F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
82,F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
83,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False
84,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
85,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
86,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
87,F,Y,Y,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False
88,F,Y,Y,1,State servant,Higher education,Married,House / apartment,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False
89,M,N,Y,1,Working,Secondary / secondary special,Married,With parents,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False
90,F,N,Y,0,Working,Higher education,Civil marriage,House / apartment,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False
91,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False
92,M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False
93,M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False
94,F,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False
95,F,N,Y,0,Working,Higher education,Separated,House / apartment,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False
96,M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False
97,M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False
98,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
99,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
100,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
101,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
102,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
103,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
104,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
105,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
106,F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
107,M,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False
108,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False
109,M,Y,N,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False
110,M,Y,N,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False
111,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
112,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
113,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
114,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
115,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
116,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
117,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
118,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
119,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
120,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
121,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
122,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False
123,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
124,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
125,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
126,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
127,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
128,M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
129,F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
130,F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
131,F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
132,F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
133,F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
134,F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
135,F,N,N,0,Working,Higher education,Married,House / apartment,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False
136,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
137,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
138,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
139,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
140,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
141,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
142,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
143,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
144,M,Y,N,0,Working,Incomplete higher,Married,With parents,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False
145,F,N,N,0,Working,Higher education,Separated,Municipal apartment,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False
146,F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False
147,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False
148,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False
149,F,N,N,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False
150,M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False
151,M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False
152,M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False
153,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
154,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
155,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
156,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
157,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
158,M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
159,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
160,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
161,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
162,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
163,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
164,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
165,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
166,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
167,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
168,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,False
169,F,N,N,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False
170,F,N,N,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False
171,F,N,N,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False
172,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
173,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
174,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
175,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
176,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
177,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
178,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
179,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
180,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False
181,M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
182,M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
183,M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
184,M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
185,F,N,N,0,Working,Higher education,Separated,House / apartment,44.391780821917806,19.45205479452055,1,0,0,0,1.0,False
186,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,51.16164383561644,14.531506849315068,1,1,1,0,2.0,False
187,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
188,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
189,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
190,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
191,M,N,N,0,Commercial associate,Lower secondary,Married,House / apartment,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,False
192,F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.95068493150685,14.446575342465753,1,1,1,0,2.0,False
193,M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
194,M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
195,M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
196,M,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,False
197,M,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,False
198,F,N,N,2,Working,Higher education,Married,House / apartment,30.90684931506849,4.778082191780822,1,1,0,1,4.0,False
199,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,False
200,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,False
201,F,N,N,0,State servant,Higher education,Married,House / apartment,40.32328767123288,15.282191780821918,1,0,1,0,2.0,False
202,F,N,N,0,State servant,Higher education,Married,House / apartment,40.32328767123288,15.282191780821918,1,0,1,0,2.0,False
203,M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False
204,M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False
205,M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False
206,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
207,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
208,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
209,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
210,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
211,F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
212,M,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,False
213,M,N,N,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False
214,M,N,N,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False
